薄: bu23, bo:~12?
磩: t&c~%{i53, t&c~%{i34
𡂿: o-53, h6o-23
供: ko34nK, ko53nK
嚇: ha34, h6u23
盡: d&z~i23n, t&c~i34n
兴: c~i53n, c~i34n
嗗: o53, ku34
磽: t&c~%{jO53, d&z~jO23
趧: di23, ti53
苔: de23, t%{e53
应: i53n, i34n
伐: va:~12?, va23
嵼: i34, t&s%{e34
畗: da23, vu23
鋪: p%{u53, p%{u34
監: d&z~i23, t&c~i53
否: p%{i34, fo-34
為: h6we23, nKwe23
还: h6e23[VA], h6we23
隤: dwe23, t%{we34
的: tjI:~55?, [B]h6$:~12?[C]
榦: ke+34, ke+53
將: d&z~ja23%~, t&c~ja53%~
鬨: h6o23nK, ho34nK
間: d&z~i23, t&c~i53
説: su53, ze+23
觉: t&c~h\\I:~55?, ko:~55?, kO34, t&c~jO34, t&c~jo:~55?
空: k%{o53nK, k%{o34nK
嗝: ge23, k$:~55?
軋: zo23, a23
嘩: h6o23, ho53
爲: h6we23, nKwe23
吶: nKwe23, no23
闀: c~ja34%~, h6o23nK, ho34nK
興: c~i34n, c~i53n
掉: t%{$:~55?, djO23, lo:~12?
说: se+34, s$:~55?[VA], s$:~55?
櫅: t&c~i53, d&z~i23
氚: t&s%{e+53, t&s%{we53
祣: ly23, lh\\I:~55?
拶: t&so53, t&se34
戧: t&c~%{ja34%~, t&c~%{ja53%~
间: t&c~i34, t&c~i53, ke53
暈: y53n, h6y23n
垸: h6h\\e+23, h6e+23
罷: h6jo-23, bo23
舖: p%{u34, p%{u53
掙: t&sa53%~, za23%~
皅: bo23, p%{o53
区: o-53, t&c~%{y53
臟: zA23%~, t&sA53%~
獝: h6y23, c~y34
秴: ku53, hu53
種: t&so34nK, zo23nK
噁: nKu23, h6u23
闚: kwe53, k%{we53
惡: u23, h6u23
长: t&sa34%~, za23%~
宿: c~jo-34, so:~55?
釘: ti53n, di23n
靾: h6jI:~12?, zI23%\\
圩: c~y53, nKwe23
訿: t&sI53%\\, t&s%{I53%\\
喪: sA53%~, zA23%~
創: t&s%{wA53%~, t&s%{wA34%~
隗: gwe23, we34
諆: t&c~i53, t&c~%{i53
圈: d&z~h\\e+23, t&c~%{h\\e+53
干: ke+53, ke+34
铮: za23%~, t&sa53%~
省: c~i34n, sa34%~
圏: d&z~h\\e+23, t&c~%{h\\e+53
攒: ze+23, t&se34
釥: t&c~jO34, t&c~%{jO34
悶: m$53n, m$23n
數: zI23%\\, sI34%\\, zu23
翘: d&z~jO23, t&c~%{jO34
折: z$:~12?, t&s$:~55?
伔: t&s%{$34n, t&s$34n
仇: d&z~jo-23, zo-23
僽: zo-23, t&s%{o-34
偈: d&z~ja23, d&z~i23
越: h6h\\I:~12?, h6h\\I:~12?[A]
覺: d&z~jO23, d&z~h\\I:~12?
祄: d&z~ja23, c~ja34
區: t&c~%{y53, o-53
猲: h6u23, gu23
𢴳: t%{A53%~, tA53%~
夾: ga23, ka53
誒: u53, e53
槛: k%{e34, le23
長: zA23%~, t&sA34%~
釆: bi23, t&s%{e34
殼: t&c~%{jO34, gu23
還: h6e23, h6e+23
乐: h6ja:~12?, lo:~12?
單: ze23, te53
華: h6o23, ho34
单: te53, ze+23
磍: h6a23, k%{a34
了: ljO23, [B]l$:~12?[VA]
